depth,retained_addresses,microcells_Q4xmu,candidate,family,duration_clip_ratio_to_tau_window,P_wave_total,X_shedding_total,X_exo_total,visible_flux,missing_flux,missing_fraction,sheddic_fraction_of_wave,symmetry_net_to_scalar,occupied_cells,effective_cells_neff,top32_flux_share,largest_cluster_share,top32_components,score_tau_like,ring_model,ring_sites,ring_coupling,ring_nodes_occupied,ring_effective_nodes_neff,ring_top32_flux_share,ring_largest_cluster_share,ring_top32_components,ring_modularity_proxy,score_tau_like_ring
2,8,384,1:2:8,lepton,1.62,49751.36135369336,18.853307601706824,7.164256888648602,4.155268995416186,3.0089878932324114,0.4199999999999998,0.0001440012231568,0.1820827173178314,72,5.759026665448822,1.0,0.5851662364760033,3,1.401550190138317,3-site recurrent fractal field ring audit / prefix-q projection,3,0.18,54,7.189557173772244,1.0,1.0000000000000002,1,1.0000000000000002,1.1526499320239187
2,8,384,1:2:9,lepton,1.0,83644.71777933257,32377.51051050136,23959.357777771147,9104.555955553013,14854.801822218144,0.6200000000000014,0.2864419704419298,0.0750390924333014,72,51.37484207086038,0.6723792574844693,0.3533566361107513,2,-0.0798863733263846,3-site recurrent fractal field ring audit / prefix-q projection,3,0.18,54,34.05094229924595,0.8826651702415022,0.8826651702415022,1,0.77909780275746,-0.397471493804835
2,8,384,1:2:10,lepton,2.05,63918.01667266653,263.4836322570103,79.0450896771031,42.68434842563563,36.36074125146742,0.4599999999999998,0.0012366636793801,0.1612688470693359,72,8.235618251288889,0.9970854787824456,0.5861231381294154,2,2.0834809528407354,3-site recurrent fractal field ring audit / prefix-q projection,3,0.18,54,10.171463302194606,0.9997656770400976,0.9997656770400982,1,0.9995314089874454,1.8352954294943256
2,8,384,3:3:8,hadron,0.82,72441.69149343215,15357.04707683945,9828.510129177152,7273.09749559115,2555.4126335860647,0.2600000000000005,0.1356747741052988,0.1456036411952404,72,42.20398220895856,0.7388016563439885,0.4067075997494024,2,1.7709902640620512,3-site recurrent fractal field ring audit / prefix-q projection,3,0.18,54,30.518920303922577,0.9123417172269236,0.9123417172269233,1,0.8323674089925714,1.4676097935755386
3,32,1536,1:2:8,lepton,1.62,49716.70079731006,15.68318379454708,5.959609841927888,3.456573708318178,2.5030361336097133,0.4200000000000001,0.0001198713862012,0.1820844315241149,96,6.1195557008007375,1.0,0.2942659790316314,12,1.5761022250078902,3-site recurrent fractal field ring audit / prefix-q projection,3,0.18,105,7.345547837593794,0.9999908356229144,0.4665774386301929,3,0.1555243875795352,1.4727153492487537
3,32,1536,1:2:9,lepton,1.0,83562.20799450537,32295.336468963516,23898.54898703304,9081.448615072588,14817.100371960489,0.6200000000000002,0.2859970979776466,0.0750425065475013,96,75.19422290552308,0.5233967927855699,0.2812684945418361,5,-0.0368069990222909,3-site recurrent fractal field ring audit / prefix-q projection,3,0.18,105,70.9825140051546,0.5681995623501341,0.3962636420456171,7,0.0321652611407985,-0.1058040875245594
3,32,1536,1:2:10,lepton,2.05,63918.57869577198,259.5843932793498,77.8753179838049,42.05267171125468,35.822646272550216,0.4599999999999994,0.001218351840307,0.1622369276458858,96,9.510693666552202,0.9899030478343656,0.2840815041172713,16,2.2659717627331664,3-site recurrent fractal field ring audit / prefix-q projection,3,0.18,105,11.273182366428724,0.9835841101914944,0.4943558891932763,3,0.1620801991300312,2.1398071316875638
3,32,1536,3:3:8,hadron,0.82,72528.19420587854,15458.157890687196,9893.221050039696,7320.983577029468,2572.2374730103625,0.2600000000000041,0.1364051753716189,0.1459769518737728,96,61.01986871679289,0.5995530154133486,0.3152858351543412,8,1.8260364661946455,3-site recurrent fractal field ring audit / prefix-q projection,3,0.18,105,59.714730745669286,0.639406119657092,0.5004567902981383,4,0.0799987835851439,1.7149338931083675
4,128,6144,1:2:8,lepton,1.62,49737.958855254285,16.78010173515896,6.376438659360406,3.6983344224290353,2.678104236931369,0.4199999999999999,0.0001282006500893,0.1834195425309792,384,20.971975848582563,0.9672662649745194,0.3136516733833341,7,1.5662031210002372,3-site recurrent fractal field ring audit / prefix-q projection,3,0.18,105,8.34759779351137,1.0,0.3338569024239782,6,0.055642817070663,1.5540799835758508
4,128,6144,1:2:9,lepton,1.0,83632.61521374555,32365.82564032163,23950.710973838144,9101.270170058464,14849.440803779778,0.6200000000000054,0.286380031434216,0.0747999891947501,384,297.6580849923469,0.1932501528618173,0.0544331105359719,9,0.099132132205287,3-site recurrent fractal field ring audit / prefix-q projection,3,0.18,105,71.40454664300958,0.5643927297652652,0.3984420252949288,5,0.0449755564618811,-0.107273216650087
4,128,6144,1:2:10,lepton,2.05,63957.67259544112,263.63318770175624,79.08995631052687,42.70857640768456,36.38137990284231,0.4599999999999993,0.0012365984111211,0.1616420378264559,384,36.48087201437321,0.8116952476065746,0.1658954356787406,10,2.3361027484027,3-site recurrent fractal field ring audit / prefix-q projection,3,0.18,105,11.234840585929849,0.9884521020298502,0.5212539428902379,3,0.1717448518470677,2.122887644075802
4,128,6144,3:3:8,hadron,0.82,72409.37805631552,15334.172227298071,9813.87022547068,7262.263966848305,2551.6062586223675,0.259999999999999,0.1355331379567721,0.145143557083556,384,241.1913991362768,0.243338557833783,0.0702293818067132,9,1.972335739941888,3-site recurrent fractal field ring audit / prefix-q projection,3,0.18,105,60.18578956732885,0.6371405245642496,0.513078714194896,3,0.1089677470349622,1.7066261405089782
