rule_id,element_Z,symbol,element_name,declared_ratio,boundary_unit_left,boundary_unit_right,retained_unit,ladder_depth,retained_capacity_Z,residual_Z,sheddic_surplus,admissibility_status,observable_map_status
FFL-346,1,H,Hydrogen,3:4:6,3,4,6,1,6,5,1,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,2,He,Helium,3:4:6,3,4,6,1,6,4,1,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,3,Li,Lithium,3:4:6,3,4,6,1,6,3,1,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,4,Be,Beryllium,3:4:6,3,4,6,1,6,2,1,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,5,B,Boron,3:4:6,3,4,6,1,6,1,1,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,6,C,Carbon,3:4:6,3,4,6,1,6,0,1,closed,registry_Z_coordinate_after_freeze
FFL-346,7,N,Nitrogen,3:4:6,3,4,6,2,12,5,2,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,8,O,Oxygen,3:4:6,3,4,6,2,12,4,2,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,9,F,Fluorine,3:4:6,3,4,6,2,12,3,2,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,10,Ne,Neon,3:4:6,3,4,6,2,12,2,2,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,11,Na,Sodium,3:4:6,3,4,6,2,12,1,2,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,12,Mg,Magnesium,3:4:6,3,4,6,2,12,0,2,closed,registry_Z_coordinate_after_freeze
FFL-346,13,Al,Aluminium,3:4:6,3,4,6,3,18,5,3,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,14,Si,Silicon,3:4:6,3,4,6,3,18,4,3,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,15,P,Phosphorus,3:4:6,3,4,6,3,18,3,3,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,16,S,Sulfur,3:4:6,3,4,6,3,18,2,3,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,17,Cl,Chlorine,3:4:6,3,4,6,3,18,1,3,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,18,Ar,Argon,3:4:6,3,4,6,3,18,0,3,closed,registry_Z_coordinate_after_freeze
FFL-346,19,K,Potassium,3:4:6,3,4,6,4,24,5,4,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,20,Ca,Calcium,3:4:6,3,4,6,4,24,4,4,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,21,Sc,Scandium,3:4:6,3,4,6,4,24,3,4,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,22,Ti,Titanium,3:4:6,3,4,6,4,24,2,4,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,23,V,Vanadium,3:4:6,3,4,6,4,24,1,4,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,24,Cr,Chromium,3:4:6,3,4,6,4,24,0,4,closed,registry_Z_coordinate_after_freeze
FFL-346,25,Mn,Manganese,3:4:6,3,4,6,5,30,5,5,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,26,Fe,Iron,3:4:6,3,4,6,5,30,4,5,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,27,Co,Cobalt,3:4:6,3,4,6,5,30,3,5,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,28,Ni,Nickel,3:4:6,3,4,6,5,30,2,5,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,29,Cu,Copper,3:4:6,3,4,6,5,30,1,5,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,30,Zn,Zinc,3:4:6,3,4,6,5,30,0,5,closed,registry_Z_coordinate_after_freeze
FFL-346,31,Ga,Gallium,3:4:6,3,4,6,6,36,5,6,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,32,Ge,Germanium,3:4:6,3,4,6,6,36,4,6,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,33,As,Arsenic,3:4:6,3,4,6,6,36,3,6,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,34,Se,Selenium,3:4:6,3,4,6,6,36,2,6,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,35,Br,Bromine,3:4:6,3,4,6,6,36,1,6,boundary_residual,registry_Z_coordinate_after_freeze
FFL-346,36,Kr,Krypton,3:4:6,3,4,6,6,36,0,6,closed,registry_Z_coordinate_after_freeze
