update_index,lead,lag,span,compatibility,padar_burden,shed_excess,outward_shedding,local_reclosure,state
0,0.4200000213816832,0.42822760622040396,0.00822758483872077,0.5688777619473844,0.004525171661296424,0.0,0.0,0.0,open
1,0.4378017404089293,0.41702728434206526,0.02077445606686401,0.5699549483102341,0.015136591599038275,0.0,0.0,0.0,open
2,0.4547108928886263,0.4043108891873982,0.0504000037012281,0.5695950217629439,0.04013200714688685,0.0,0.0,0.0,open
3,0.4698797327832675,0.39059881433171606,0.07928091845155144,0.5678083367369626,0.0765127510088005,0.0,0.0,0.0,open
4,0.48254800994082125,0.3764519713712679,0.10609603856955335,0.5646462929074785,0.12109327704047076,0.0,0.0,0.0,open
5,0.49208140119019445,0.36244858365301563,0.1296328175371788,0.560199856518347,0.17059453681863437,0.0,0.0,0.0,open
6,0.4980039825947491,0.34916006841055697,0.14884391418419213,0.5545969434488773,0.22175167299258586,0.0,0.0,0.0,open
7,0.5000234478627764,0.33712686040978357,0.16289658745299285,0.5479987393068798,0.27142949495306645,0.0,0.0,0.0,open
8,0.49804836976743244,0.3268349739432892,0.17121339582414324,0.5405950624121997,0.3167395535647933,0.0,0.0,0.0,open
9,0.49219750231275494,0.3186940090855178,0.17350349322723713,0.5325989030692563,0.3551533551981109,0.0,0.0,0.0,open
10,0.48280184288501493,0.31301720663837385,0.16978463624664109,0.5242402962237755,0.38460730119810355,0.0,0.0,0.0,open
11,0.47040074198261955,0.3100040825068431,0.16039665947577647,0.5157597037762246,0.40359614969412194,0.0,0.0,0.0,open
12,0.4557334892203691,0.30972617581981876,0.14600731340055034,0.5074010969307438,0.41125286511948267,0.0,0.0,0.0,open
13,0.43972717791898747,0.3121165753009361,0.12761060261805135,0.49940493758780036,0.407413180837904,0.0,0.0,0.0,open
14,0.42347997138885957,0.3169641729810059,0.10651579840785369,0.4920012606931203,0.3926624974114008,0.0,0.0,0.0,open
15,0.4082361541028201,0.3239140097728889,0.08432214432993118,0.4854030565511227,0.36836042725881074,0.0,0.0,0.0,open
16,0.3953460962378123,0.3324755189832688,0.06287057725454348,0.479800143481653,0.3366343678422237,0.0,0.0,0.0,open
17,0.38620178153749346,0.34204074112119576,0.0441610404162977,0.4753537070925216,0.3003287538595872,0.0,0.0,0.0,open
18,0.3821387769805558,0.3519144002857317,0.03022437669482414,0.47219166326303746,0.2628929853470148,0.0,0.0,0.0,open
19,0.3843004415068997,0.3613568163358309,0.022943625171068793,0.4704049782370562,0.22819124182863995,0.0,0.0,0.0,open
20,0.39347074943535143,0.36963880571079755,0.023831943724553883,0.47004505168976596,0.2002243873479894,0.0,0.0,0.0,open
21,0.40989709382437944,0.3761050725322557,0.03379202129212372,0.4711222380526157,0.18276960933601935,0.0,0.0,0.0,open
22,0.4331396981093663,0.3802395366159635,0.05290016149340282,0.47360554863517457,0.1789661684769074,0.0,0.0,0.0,open
23,0.4619933684161654,0.38172336556200676,0.08027000285415864,0.47742354311333446,0.19090075972085133,0.0,0.0,0.0,open
24,0.49452371663665934,0.3804751585625656,0.11404855807409375,0.4824663847373638,0.21926532991184966,0.0,0.0,0.0,open
25,0.5282402411911381,0.3766636627439857,0.1515765784471524,0.4885890001352179,0.26316468867365056,0.0,0.0,0.0,open
26,0.5603952864899763,0.3706870194791411,0.18970826701083515,0.4956152528093183,0.3201345915683528,0.0,0.0,0.0,open
27,0.58836007517564,0.36311850070309454,0.2252415744725455,0.5033430102628972,0.3863932310459493,0.0,0.0,0.0,open
28,0.6100000052984801,0.3546258098626585,0.25537419543582157,0.5115499589839075,0.4572982569473803,0.0,0.0,0.0,open
29,0.6239634373782816,0.34587746534780345,0.2780859720304782,0.52,0.52,0.007931855313614844,0.0049177502944412034,0.0030141050191736405,open
30,0.6298167232667391,0.33745362444587723,0.29236309882086187,0.5284500410160924,0.5284500410160924,0.058749663335381674,0.036424791267936636,0.022324872067445038,open
31,0.6279987108292182,0.3297785603938224,0.2982201504353958,0.5366569897371029,0.5366569897371029,0.06069312663556059,0.037629738514047564,0.023063388121513026,open
32,0.6196170090599148,0.32308758729316195,0.29652942176675284,0.5443847471906818,0.5443847471906818,0.0587651663654567,0.03643440314658315,0.022330763218873548,open
33,0.6061490093251514,0.31743354900148557,0.2887154603236658,0.5514109998647821,0.5514109998647821,0.0537779960095931,0.03334235752594772,0.020435638483645376,open
34,0.58912963317394,0.3127291026004777,0.27640053057346226,0.5575336152626362,0.5575336152626362,0.04664369644188937,0.02891909179397141,0.01772460464791796,open
35,0.569900456675603,0.30881338732985286,0.2610870693457501,0.5625764568866656,0.5625764568866656,0.03819899576885866,0.023683377376692367,0.01451561839216629,open
36,0.5494666761994701,0.30552732775679503,0.24393934844267506,0.5663944513648255,0.5663944513648255,0.029084884925711596,0.018032628653941188,0.011052256271770406,open
37,0.5284715036456789,0.30278176804335494,0.22568973560232392,0.5688777619473844,0.5688777619473844,0.019695042753050673,0.012210926506891418,0.007484116246159256,open
38,0.5072652512308478,0.30060652327169335,0.2066587279591544,0.5699549483102341,0.5699549483102341,0.010187116864155965,0.006316012455776699,0.003871104408379267,open
39,0.4860276945435615,0.29917474366373237,0.18685295087982912,0.5695950217629439,0.5695950217629439,0.0005371588353541012,0.00033303847791954277,0.00020412035743455848,open
40,0.4648997406162892,0.29880355718831475,0.16609618342797444,0.5678083367369625,0.5584208187309998,0.0,0.0,0.0,open
41,0.44409046257353946,0.29993667113507255,0.1441537914384669,0.5646462929074785,0.5371896566505766,0.0,0.0,0.0,open
42,0.42394155570130104,0.30311603990635305,0.12082551579494799,0.560199856518347,0.5069495521406941,0.0,0.0,0.0,open
43,0.4049466914915503,0.30894752744794124,0.09599916404360909,0.5545969434488773,0.46849817297935414,0.0,0.0,0.0,open
44,0.3877338707379386,0.31806068016148825,0.06967319057645033,0.5479987393068798,0.4224887566601181,0.0,0.0,0.0,open
45,0.3730234067407576,0.3310574143023837,0.0419659924383739,0.5405950624121997,0.36952207630240247,0.0,0.0,0.0,open
46,0.3615736038203308,0.34844143701754193,0.013132166802788892,0.5325989030692563,0.3102307943095039,0.0,0.0,0.0,open
47,0.35412266435828255,0.37052222641277,0.01639956205448745,0.5242402962237755,0.2634090104637613,0.0,0.0,0.0,open
48,0.3513310725690492,0.3972957369729005,0.045964664403851274,0.5157597037762246,0.24127595400240245,0.0,0.0,0.0,open
49,0.3537253470558188,0.42831755729702486,0.07459221024120605,0.5074010969307439,0.23887199791463332,0.0,0.0,0.0,open
50,0.36164258104492625,0.4625989211570753,0.10095634011214905,0.49940493758780036,0.2514010253516813,0.0,0.0,0.0,open
51,0.37517586265545005,0.49856536405667173,0.12338950140122168,0.4920012606931203,0.27401306655905056,0.0,0.0,0.0,open
52,0.3941231564661326,0.5341154224947781,0.13999226602864545,0.4854030565511227,0.30168646089417644,0.0,0.0,0.0,open
53,0.41794569183815766,0.5667991100352614,0.14885341819710374,0.479800143481653,0.32925227794163175,0.0,0.0,0.0,open
54,0.4457451090872443,0.5941052238684799,0.14836011478123556,0.4753537070925216,0.35158493104181754,0.0,0.0,0.0,open
55,0.476270158190939,0.6138114630893021,0.13754130489836314,0.47219166326303746,0.3639473611483901,0.0,0.0,0.0,open
56,0.5079624213827079,0.6243244600033938,0.11636203862068595,0.4704049782370562,0.3624359573830571,0.0,0.0,0.0,open
57,0.5390457831967987,0.6249297270877371,0.08588394389093834,0.47004505168976596,0.3444336541941229,0.0,0.0,0.0,open
58,0.5676566584476594,0.6158894020018513,0.048232743554191826,0.4711222380526157,0.30896360539398626,0.0,0.0,0.0,open
59,0.5920028828915676,0.5983642496311068,0.006361366739539243,0.4736055486351745,0.2568489081298153,0.0,0.0,0.0,open
60,0.610531055567691,0.5741829809623782,0.03634807460531286,0.47742354311333446,0.23060754569937061,0.0,0.0,0.0,open
